cat__MSZoning_C (all),cat__MSZoning_FV,cat__MSZoning_RH,cat__MSZoning_RL,cat__MSZoning_RM,cat__MSZoning_missing,cat__Street_Pave,cat__LotShape_IR1,cat__LotShape_IR2,cat__LotShape_IR3,cat__LotShape_Reg,cat__LandContour_Bnk,cat__LandContour_HLS,cat__LandContour_Low,cat__LandContour_Lvl,cat__Utilities_infrequent_sklearn,cat__LotConfig_Corner,cat__LotConfig_CulDSac,cat__LotConfig_FR2,cat__LotConfig_FR3,cat__LotConfig_Inside,cat__LandSlope_Gtl,cat__LandSlope_Mod,cat__LandSlope_Sev,cat__Neighborhood_CollgCr,cat__Neighborhood_Edwards,cat__Neighborhood_Gilbert,cat__Neighborhood_NAmes,cat__Neighborhood_NWAmes,cat__Neighborhood_NridgHt,cat__Neighborhood_OldTown,cat__Neighborhood_Sawyer,cat__Neighborhood_Somerst,cat__Neighborhood_infrequent_sklearn,cat__Condition1_Artery,cat__Condition1_Feedr,cat__Condition1_Norm,cat__Condition1_PosA,cat__Condition1_PosN,cat__Condition1_RRAe,cat__Condition1_RRAn,cat__Condition1_RRNe,cat__Condition1_RRNn,cat__Condition2_Artery,cat__Condition2_Feedr,cat__Condition2_Norm,cat__Condition2_PosA,cat__Condition2_PosN,cat__Condition2_infrequent_sklearn,cat__BldgType_1Fam,cat__BldgType_2fmCon,cat__BldgType_Duplex,cat__BldgType_Twnhs,cat__BldgType_TwnhsE,cat__HouseStyle_1.5Fin,cat__HouseStyle_1.5Unf,cat__HouseStyle_1Story,cat__HouseStyle_2.5Fin,cat__HouseStyle_2.5Unf,cat__HouseStyle_2Story,cat__HouseStyle_SFoyer,cat__HouseStyle_SLvl,cat__RoofStyle_Flat,cat__RoofStyle_Gable,cat__RoofStyle_Gambrel,cat__RoofStyle_Hip,cat__RoofStyle_Mansard,cat__RoofStyle_Shed,cat__RoofMatl_CompShg,cat__RoofMatl_Tar&Grv,cat__RoofMatl_WdShake,cat__RoofMatl_WdShngl,cat__RoofMatl_infrequent_sklearn,cat__Exterior1st_AsbShng,cat__Exterior1st_BrkFace,cat__Exterior1st_CemntBd,cat__Exterior1st_HdBoard,cat__Exterior1st_MetalSd,cat__Exterior1st_Plywood,cat__Exterior1st_VinylSd,cat__Exterior1st_Wd Sdng,cat__Exterior1st_WdShing,cat__Exterior1st_infrequent_sklearn,cat__Exterior2nd_BrkFace,cat__Exterior2nd_CmentBd,cat__Exterior2nd_HdBoard,cat__Exterior2nd_MetalSd,cat__Exterior2nd_Plywood,cat__Exterior2nd_Stucco,cat__Exterior2nd_VinylSd,cat__Exterior2nd_Wd Sdng,cat__Exterior2nd_Wd Shng,cat__Exterior2nd_infrequent_sklearn,cat__MasVnrType_BrkCmn,cat__MasVnrType_BrkFace,cat__MasVnrType_Stone,cat__MasVnrType_missing,cat__Foundation_BrkTil,cat__Foundation_CBlock,cat__Foundation_PConc,cat__Foundation_Slab,cat__Foundation_Stone,cat__Foundation_Wood,cat__Heating_GasA,cat__Heating_GasW,cat__Heating_Grav,cat__Heating_Wall,cat__Heating_infrequent_sklearn,cat__CentralAir_Y,cat__Electrical_FuseA,cat__Electrical_FuseF,cat__Electrical_FuseP,cat__Electrical_SBrkr,cat__Electrical_infrequent_sklearn,cat__GarageType_2Types,cat__GarageType_Attchd,cat__GarageType_Basment,cat__GarageType_BuiltIn,cat__GarageType_CarPort,cat__GarageType_Detchd,cat__GarageType_missing,cat__Fence_GdPrv,cat__Fence_GdWo,cat__Fence_MnPrv,cat__Fence_MnWw,cat__Fence_missing,cat__SaleType_COD,cat__SaleType_CWD,cat__SaleType_Con,cat__SaleType_ConLD,cat__SaleType_ConLI,cat__SaleType_ConLw,cat__SaleType_New,cat__SaleType_Oth,cat__SaleType_WD,cat__SaleType_infrequent_sklearn,cat__SaleCondition_Abnorml,cat__SaleCondition_AdjLand,cat__SaleCondition_Alloca,cat__SaleCondition_Family,cat__SaleCondition_Normal,cat__SaleCondition_Partial,num__MSSubClass,num__LotFrontage,num__LotArea,num__OverallQual,num__OverallCond,num__YearBuilt,num__YearRemodAdd,num__MasVnrArea,num__ExterQual,num__ExterCond,num__BsmtQual,num__BsmtCond,num__BsmtExposure,num__BsmtFinType1,num__BsmtFinSF1,num__BsmtFinType2,num__BsmtFinSF2,num__BsmtUnfSF,num__TotalBsmtSF,num__HeatingQC,num__2ndFlrSF,num__LowQualFinSF,num__GrLivArea,num__BsmtFullBath,num__BsmtHalfBath,num__FullBath,num__HalfBath,num__BedroomAbvGr,num__KitchenAbvGr,num__KitchenQual,num__Functional,num__Fireplaces,num__FireplaceQu,num__GarageFinish,num__GarageCars,num__GarageQual,num__GarageCond,num__PavedDrive,num__WoodDeckSF,num__OpenPorchSF,num__EnclosedPorch,num__3SsnPorch,num__ScreenPorch,num__PoolArea,num__MiscVal,num__MoSold,num__YrSold,SalePrice
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2352941176470588,0.33263394913259015,0.059462855058050074,0.6666666666666665,0.5,0.9529125762596351,0.8833333333333329,0.15942580680845517,0.6666666666666667,0.3510707332900714,0.6666666666666667,0.6666666666666666,0.25,1.0,0.31207233713006477,0.0,0.0,0.07066944695975307,0.267458878197477,1.0,0.46460210692159,0.0,0.3071444010275248,0.5,0.0,0.5,0.5,0.5,0.07578558225508303,0.6666666666666667,0.9999999999999999,0.0,0.25,0.5,0.5,0.6489292667098582,0.6489292667098582,1.0,0.0,0.11619755870833853,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.5,208500.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4093956297016494,0.06926946328619905,0.5555555555555556,0.875,0.7438760026013416,0.43333333333333,0.0,0.3333333333333333,0.3510707332900714,0.6666666666666667,0.6666666666666666,1.0,0.8,0.43230417239830504,0.0,0.0,0.13380081957713247,0.3943143741649719,1.0,0.0,0.0,0.19558628273408704,0.0,0.5,0.5,0.0,0.5,0.07578558225508303,0.3333333333333333,0.9999999999999999,0.3333333333333333,0.5,0.5,0.5,0.6489292667098582,0.6489292667098582,1.0,0.39950557833122474,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.25,181500.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2352941176470588,0.347986285246402,0.0833398142222389,0.6666666666666665,0.5,0.937428385618281,0.8666666666666671,0.13177030970902925,0.6666666666666667,0.3510707332900714,0.6666666666666667,0.6666666666666666,0.5,1.0,0.2148259997807528,0.0,0.0,0.20447026653688555,0.28745580367018553,1.0,0.4711304737635795,0.0,0.32606943895230445,0.5,0.0,0.5,0.5,0.5,0.07578558225508303,0.6666666666666667,0.9999999999999999,0.3333333333333333,0.5,0.5,0.5,0.6489292667098582,0.6489292667098582,1.0,0.0,0.0800048764877085,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5,223500.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2941176470588235,0.307046722276237,0.06884308901540996,0.6666666666666665,0.5,0.27160818804001075,0.3333333333333357,0.0,0.3333333333333333,0.3510707332900714,0.3333333333333333,1.0,0.25,0.8,0.09547822212477902,0.0,0.0,0.254410009055111,0.23621368214636984,0.6755353666450357,0.41128711104534194,0.0,0.3088874966258598,0.5,0.0,0.25,0.0,0.5,0.07578558225508303,0.6666666666666667,0.9999999999999999,0.3333333333333333,0.75,0.0,0.75,0.6489292667098582,0.6489292667098582,1.0,0.0,0.06667073040642375,0.6156074597138677,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,140000.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2352941176470588,0.4298654111867319,0.10900754532374189,0.7777777777777777,0.5,0.9296862902976031,0.8333333333333357,0.2846889407293842,0.6666666666666667,0.3510707332900714,0.6666666666666667,0.6666666666666666,0.75,1.0,0.28952886801726974,0.0,0.0,0.23085352673519335,0.35775749478517654,1.0,0.5728641903845835,0.0,0.4286630655971625,0.5,0.0,0.5,0.5,0.6666666666666666,0.07578558225508303,0.6666666666666667,0.9999999999999999,0.3333333333333333,0.5,0.5,0.75,0.6489292667098582,0.6489292667098582,1.0,0.2573995672469636,0.160009752975417,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.5,250000.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17647058823529413,0.4349828565580025,0.10777105993845355,0.4444444444444445,0.5,0.8754916230528593,0.75,0.0,0.3333333333333333,0.3510707332900714,0.6666666666666667,0.6666666666666666,0.25,1.0,0.32356508608952894,0.0,0.0,0.03015229736949464,0.24871176056681268,1.0,0.30792130271384066,0.0,0.22048764842458654,0.5,0.0,0.25,0.5,0.16666666666666666,0.07578558225508303,0.3333333333333333,0.9999999999999999,0.0,0.25,0.0,0.5,0.6489292667098582,0.6489292667098582,1.0,0.053624909843117415,0.05714634034836322,0.0,0.9814927277522831,0.0,0.0,0.08097728008883048,0.8181818181818182,0.75,143000.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3838084028452963,0.0733967662274374,0.7777777777777777,0.5,0.960654671580313,0.9166666666666643,0.15129183707332988,0.6666666666666667,0.3510707332900714,1.0,0.6666666666666666,0.75,1.0,0.6051374355964004,0.0,0.0,0.14934809790827813,0.5267940054216661,1.0,0.0,0.0,0.3031601825170449,0.5,0.0,0.5,0.0,0.5,0.07578558225508303,0.6666666666666667,0.9999999999999999,0.3333333333333333,0.75,0.5,0.5,0.6489292667098582,0.6489292667098582,1.0,0.34185880024987353,0.10857804666189011,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.25,307000.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2352941176470588,0.0,0.07593795688134036,0.6666666666666665,0.625,0.7206497166393095,0.38333333333333286,0.1952152736430063,0.3333333333333333,0.3510707332900714,0.6666666666666667,0.6666666666666666,0.5,0.8,0.3797027444684499,0.6000000000000001,0.027054950294981752,0.10176400362204441,0.34588432028575583,1.0,0.5347820504729777,0.0,0.40176959065142304,0.5,0.0,0.5,0.5,0.5,0.07578558225508303,0.3333333333333333,0.9999999999999999,0.6666666666666666,0.5,0.5,0.5,0.6489292667098582,0.6489292667098582,1.0,0.3150463453283148,0.38859511436886984,0.5160239000542713,0.0,0.0,0.0,0.04048864004441524,0.9090909090909091,0.75,200000.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.26098971393480147,0.03959381403927865,0.6666666666666665,0.5,0.39548171317085057,0.0,0.0,0.3333333333333333,0.3510707332900714,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.4485154233712328,0.2974542664065398,0.6755353666450357,0.4091109887646788,0.0,0.3230812750694445,0.0,0.0,0.5,0.0,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.5,0.0,0.5,0.3244646333549291,0.6489292667098582,1.0,0.12065604714701418,0.0,0.463968857504937,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,129900.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2558722685635309,0.050679545079794885,0.4444444444444445,0.625,0.45741847573627226,0.0,0.0,0.3333333333333333,0.3510707332900714,0.3333333333333333,0.6666666666666666,0.25,1.0,0.37616651401938406,0.0,0.0,0.06595815049576953,0.3096398928664716,1.0,0.0,0.0,0.1495187562066629,0.5,0.0,0.25,0.0,0.3333333333333333,1.0,0.3333333333333333,0.9999999999999999,0.6666666666666666,0.5,0.5,0.25,0.9733939000647873,0.6489292667098582,1.0,0.0,0.007619512046448429,0.0,0.0,0.0,0.0,0.0,0.0,0.5,118000.0
